Date,Open,Low,High,Close,Volume,Amount
2016-01-04 09:41:00,1.76,1.76,1.76,1.76,6000,10560
2016-01-04 09:51:00,1.76,1.76,1.76,1.76,20000,35200
2016-01-04 10:09:00,1.77,1.77,1.77,1.77,64000,112640
2016-01-04 10:18:00,1.77,1.77,1.77,1.77,18000,31860
2016-01-04 10:31:00,1.77,1.77,1.77,1.77,40000,70800
2016-01-04 10:34:00,1.77,1.77,1.77,1.77,28000,49560
2016-01-04 10:39:00,1.77,1.77,1.77,1.77,20000,35400
2016-01-04 10:49:00,1.72,1.71,1.72,1.71,260000,441740
2016-01-04 10:50:00,1.7,1.7,1.7,1.7,30000,50750
2016-01-04 10:51:00,1.68,1.68,1.68,1.68,40000,67130
2016-01-04 13:01:00,1.71,1.71,1.71,1.71,100000,171000
2016-01-04 13:16:00,1.7,1.7,1.7,1.7,10000,17000
2016-01-04 13:39:00,1.7,1.7,1.7,1.7,60000,102000
2016-01-04 13:41:00,1.69,1.69,1.69,1.69,47000,79430
2016-01-04 13:43:00,1.69,1.69,1.69,1.69,20000,33840
2016-01-04 13:44:00,1.7,1.7,1.7,1.7,50000,84900
2016-01-04 13:50:00,1.69,1.69,1.69,1.69,40000,67600
2016-01-04 13:54:00,1.7,1.7,1.7,1.7,13000,22000
2016-01-04 13:59:00,1.7,1.69,1.7,1.69,58000,98030
2016-01-04 14:15:00,1.68,1.68,1.68,1.68,20000,33600
2016-01-04 14:23:00,1.69,1.69,1.69,1.69,5000,8450
2016-01-04 14:24:00,1.68,1.68,1.7,1.7,281000,473100
2016-01-04 14:28:00,1.7,1.7,1.7,1.7,10000,17000
2016-01-04 14:30:00,1.7,1.7,1.7,1.7,2000,3400
2016-01-04 14:57:00,1.7,1.7,1.7,1.7,4000,6800
2016-01-04 15:19:00,1.69,1.69,1.69,1.69,85000,143650
2016-01-04 15:41:00,1.68,1.68,1.69,1.69,116000,195140
2016-01-04 15:49:00,1.69,1.69,1.69,1.69,60000,101400
2016-01-04 15:50:00,1.69,1.69,1.69,1.69,2000,3380
2016-01-04 15:52:00,1.69,1.69,1.69,1.69,10000,16900
2016-01-04 15:56:00,1.69,1.69,1.69,1.69,2000,3380
2016-01-04 15:59:00,1.69,1.69,1.69,1.69,25000,42250
2016-01-04 16:00:00,1.69,1.69,1.69,1.69,10000,16900
2016-01-05 09:31:00,1.69,1.69,1.69,1.69,8000,13520
2016-01-05 09:40:00,1.69,1.69,1.69,1.69,15000,25350
2016-01-05 09:48:00,1.7,1.7,1.7,1.7,23000,39100
2016-01-05 09:51:00,1.7,1.7,1.7,1.7,10000,17000
2016-01-05 13:29:00,1.69,1.69,1.69,1.69,14000,23660
2016-01-05 13:41:00,1.68,1.68,1.68,1.68,66000,110880
2016-01-05 14:04:00,1.67,1.67,1.67,1.67,2000,3340
2016-01-05 14:06:00,1.67,1.67,1.67,1.67,26000,43420
2016-01-05 14:15:00,1.66,1.66,1.66,1.66,22000,36520
2016-01-05 14:19:00,1.65,1.65,1.65,1.65,8000,13200
2016-01-05 14:26:00,1.66,1.66,1.66,1.66,10000,16600
2016-01-05 14:54:00,1.66,1.66,1.66,1.66,17000,28220
2016-01-05 14:59:00,1.65,1.65,1.65,1.65,10000,16500
2016-01-05 15:28:00,1.66,1.66,1.66,1.66,34000,56440
2016-01-05 15:35:00,1.66,1.66,1.66,1.66,14000,23240
2016-01-05 15:40:00,1.66,1.66,1.66,1.66,2000,3320
2016-01-05 15:55:00,1.66,1.66,1.66,1.66,10000,16600
2016-01-06 09:56:00,1.67,1.67,1.67,1.67,30000,50100
2016-01-06 09:58:00,1.67,1.67,1.67,1.67,30000,50170
2016-01-06 10:06:00,1.68,1.68,1.68,1.68,10000,16800
2016-01-06 10:13:00,1.67,1.67,1.67,1.67,50000,83500
2016-01-06 10:14:00,1.68,1.68,1.68,1.68,5000,8400
2016-01-06 10:17:00,1.71,1.71,1.71,1.71,10000,17080
2016-01-06 10:27:00,1.71,1.71,1.71,1.71,20000,34200
2016-01-06 10:43:00,1.68,1.68,1.68,1.68,10000,16800
2016-01-06 10:51:00,1.67,1.67,1.67,1.67,48000,80160
2016-01-06 10:57:00,1.65,1.65,1.65,1.65,51000,84250
2016-01-06 11:05:00,1.65,1.65,1.65,1.65,12000,19800
2016-01-06 11:31:00,1.65,1.65,1.65,1.65,17000,28050
2016-01-06 11:47:00,1.65,1.65,1.65,1.65,39000,64350
2016-01-06 13:02:00,1.64,1.64,1.64,1.64,39000,64270
2016-01-06 13:39:00,1.65,1.65,1.65,1.65,3000,4950
2016-01-06 13:41:00,1.65,1.65,1.65,1.65,9000,14850
2016-01-06 13:42:00,1.65,1.65,1.65,1.65,45000,74250
2016-01-06 13:44:00,1.65,1.65,1.65,1.65,5000,8250
2016-01-06 13:45:00,1.65,1.65,1.65,1.65,1000,1650
2016-01-06 13:58:00,1.65,1.65,1.65,1.65,35000,57750
2016-01-06 14:02:00,1.65,1.65,1.65,1.65,5000,8250
2016-01-06 14:06:00,1.65,1.65,1.65,1.65,18000,29550
2016-01-06 14:17:00,1.65,1.65,1.65,1.65,118000,194700
2016-01-06 14:48:00,1.64,1.64,1.64,1.64,10000,16400
2016-01-06 14:53:00,1.65,1.65,1.65,1.65,2000,3300
2016-01-06 14:55:00,1.64,1.64,1.64,1.64,64000,104960
2016-01-06 15:00:00,1.64,1.64,1.64,1.64,7000,11480
2016-01-06 15:07:00,1.63,1.63,1.63,1.63,5000,8150
2016-01-06 15:08:00,1.64,1.64,1.64,1.64,20000,32800
2016-01-06 15:33:00,1.63,1.63,1.63,1.63,61000,99430
2016-01-06 15:37:00,1.63,1.62,1.63,1.62,71000,115120
2016-01-06 15:39:00,1.61,1.61,1.61,1.61,131000,210910
2016-01-06 15:40:00,1.6,1.6,1.6,1.6,216000,345600
2016-01-06 15:41:00,1.6,1.6,1.6,1.6,9000,14400
2016-01-06 15:42:00,1.59,1.58,1.6,1.58,69000,109620
2016-01-06 15:45:00,1.57,1.57,1.57,1.57,25000,39250
2016-01-06 15:47:00,1.56,1.56,1.56,1.56,21000,32760
2016-01-06 15:48:00,1.55,1.54,1.55,1.54,24000,37160
2016-01-06 15:49:00,1.55,1.54,1.55,1.54,53000,81700
2016-01-06 15:50:00,1.54,1.53,1.54,1.53,437000,668990
